filename,num_alpha_dihedrals,alpha_dihedral_score,num_beta_dihedrals,beta_dihedral_score,ranking_score,cluster_single,cluster_size_single,cluster_average,cluster_size_average,cluster_maximum,cluster_size_maximum,cluster_pairs_min,cluster_size_pairs_min,cluster_pairs_abs,cluster_size_pairs_abs
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_43_8_hMIN.pdb,17,7.800000000000001,0,0,0.45882352941176474,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_35_4_hMIN.pdb,17,7.8,0,0,0.4588235294117647,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_19_3_hMIN.pdb,17,7.8,0,0,0.4588235294117647,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_33_5_hMIN.pdb,17,7.8,0,0,0.4588235294117647,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_39_2_hMIN.pdb,17,7.8,0,0,0.4588235294117647,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_29_7_hMIN.pdb,17,7.600000000000001,0,0,0.44705882352941184,2,139,5,46,4,32,2,35,5,10
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_33_4_hMIN.pdb,17,7.6000000000000005,0,0,0.4470588235294118,2,139,2,73,1,74,1,63,4,11
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_23_5_hMIN.pdb,17,7.6000000000000005,0,0,0.4470588235294118,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_31_8_hMIN.pdb,17,7.6000000000000005,0,0,0.4470588235294118,2,139,5,46,4,32,7,5,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_43_6_hMIN.pdb,17,7.6000000000000005,0,0,0.4470588235294118,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_35_9_hMIN.pdb,17,7.6000000000000005,0,0,0.4470588235294118,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_27_6_hMIN.pdb,17,7.6000000000000005,0,0,0.4470588235294118,2,139,2,73,1,74,3,11,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_41_9_hMIN.pdb,17,7.6000000000000005,0,0,0.4470588235294118,2,139,3,14,6,13,2,35,2,38
